year,forecast,lower_95,upper_95,optimistic,optimistic_lower,optimistic_upper,pessimistic,pessimistic_lower,pessimistic_upper,indicator,pillar
2025,35.967992424242425,22.675776213405264,49.260208635079586,43.16159090909091,27.210931456086318,59.1122503620955,28.774393939393942,18.14062097072421,39.40816690806367,Account Ownership,ACCESS
2026,36.33823232323232,23.046016112395158,49.63044853406948,43.60587878787878,27.65521933487419,59.55653824088337,29.070585858585858,18.436812889916126,39.70435882725559,Account Ownership,ACCESS
2027,36.70847222222221,23.41625601138505,50.00068843305937,44.050166666666655,28.09950721366206,60.000826119671245,29.36677777777777,18.733004809108042,40.0005507464475,Account Ownership,ACCESS
